"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 26 02:05:22 GMT 2025","Mon May 26 02:05:42 GMT 2025","20197","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
"failed","Mon May 26 02:05:42 GMT 2025","Mon May 26 02:05:43 GMT 2025","859","","スモークテスト","","","","Webサイトを開きログインする",""
